title,start,end,description,place,location,source,source_url,media,media_credit,maps,video,metadata
Ofa,,,,,,,,,,,,
Zlatoust,7/19/1899,,"On July 19th we arrived at ZLOTOST - this is already in Siberia. Here live a lot of Tartars and only two Jews - both are commissioners. Total Population: 20,502 Russian Orthodox Population: 18,967 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census ",Zatoust,"55.158230, 59.688300",RussiaTrek,http://russiatrek.org/zlatoust-city,,,,,
Chelyabinsk,7/20/1899,,"On July 20 we stopped in Chelyabinsk. In the Orenburg region. Here live a lot of Cossacks and many exiles. However, these people are doing rather well and are quite rich.

We had our meal here and in two hours we were finished and on our way.
",Chelyabinsk,"55.172627, 61.416124",RussiaTrek,http://russiatrek.org/chelyabinsk-city,,,,,
Kilimen,,,,,,,,,,,,
Omsk,7/23/1899,7/23/1899,"On  July  23rd  we  arrived  in  Omsk  in  the  Malinovsky region.

As we were approaching the railroad station a miracle occurred: We had to cross over a long bridge a couple of miles before we got to the railroad station. Some Kirgiz men wanted to blow up the bridge just as our train was moving across it. They placed dynamite charges under the railroad ties. Had this dynamite exploded we would have perished - they would not have been able to find even a shred of our remnants. However, this business was discovered in time and these men were caught and sent away (where they deserved to be) in chains. An order was issued immediately that a man should be placed every couple of miles to guard the railroad and that soldiers should guard every bridge.

Omsk is a very big city in Siberia and people could be found here from all over Russia and Poland - but all were exiles. Nevertheless. They were doing rather well here. They were wealthy and were doing big business.

Here in Omsk we celebrated a regimental holiday. We fell in formation and our general came with the chaplain who conducted a prayer service. As we stood there a photographer came and took a picture of the whole regiment. We had some vodka and ate dinner.

We went into the city and found many Jews who were living here but came from Warsaw. They were exiled to Omsk and had been living here a long time. Many soldiers who came from Warsaw themselves found relatives here who they had never heard of before: uncles, aunts, brothers-in-law and also close friends.         They received the soldiers with respect and gave them food and money. What a pity that no relative of mine could be found here who would give me some money - but what could I do? There was none.

A couple of hours later we were on our way. Total Population: 37,376 Russian Orthodox Population: 33,078 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census 
",,"54.991785, 73.321463",RussiaTrek,http://russiatrek.org/omsk-city,,,,,
Kansk,7/25/1899,,"On July 25th we arrived in KANSK. As I was eating dinner I met two Jews from Warsaw who spent five years of exile here for a fraudulent deal. Their five years of exile were over and since they were about to return to Warsaw I gave them a letter to pass on to my family. Total Population: 7,537 Russian Orthodox Population: 6,769 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census ",,"56.218263, 95.719502",Sayan Ring,http://www.sayanring.com/guide/city/view/29/,,,,,
Krasnoyarsk,7/28/1899,,"On July 28th we arrived in the city of KRASNOYARSK. It was a big city with many different kinds of people. Jews, gentiles but - all exiles. We ate dinner and were on our way. Total Population: 26,669 Russian Orthodox Population: 24,056 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census ",,"56.018671, 92.890110",RussiaTrek,http://russiatrek.org/krasnoyarsk-city,,,,,
Irkutsk,8/2/1899,,"On August 2nd we arrived at IRKUTSK. We stayed in Irkutsk a few days and we were quartered in private homes. We were walking around the city and found that there were many Polish Jews living here. These Jews had been sentenced to prison terms at hard labor and when they completed their sentences they remained here and they became wealthy businessmen. They are now living honest lives and they built a beautiful synagogue in Irkutsk - more beautiful than the ""German Shull (11)"" in Warsaw.

They are good people these ""Sybirnicks"" - five rubles (12) to them is like nothing, it's like five kopecks to us. Total Population: 51,473 Russian Orthodox Population: 44,896 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census 
",Irkutsk,"52.289568, 104.298400",RussiaTrek,http://russiatrek.org/irkutsk-city,,,,,
Lake Baykal,8/5/1899,,"On August 5th we departed. We  passed  through  a  few  small  stations  and  then  we arrived  at the  shore  of  Lake  Baykal.	It is a very deep lake.   We were told to get out of the train cars. We saw several big ships anchored in the water. A huge ferry boat was waiting for us which could accommodate two thousand men. Thirty train cars and al l our military freight. The ferry docked at the pier, the train with its thirty train cars was loaded into the ferry. We went up on deck and the ferry pulled out.

We were on board the ferry for five hours and saw nothing but water and sky and big fish. We crossed Lake Baykal and docked at the opposite shore. The train was rolled out of the ferry and onto the railroad tracks, we got back into our train cars and continued on our way.",Lake Baikal,"53.761120, 108.141412",Lake Baikal,http://lakebaikal.org/,,,,,
Petrovsky Zavod,8/7/1899,,"Petrovski Zavod was a prison colony for people who were sentenced to terms of hard labor. The prisoners were working in the mines or at producing copper, brass, and iron or at quarrying stones or at other such pleasant’ labor. The prisoners worked, they dug, they split stones - it's a whole separate, secluded world for the prisoners. There are shoemakers and tailors among the prisoners who work here and they are all guarded by soldiers. Those prisoners who received life sentences got no medical care. If a prisoner becomes sick he is just left to suffer. He receives no medical service. If he recovers - good and well, and if he doesn't recover and he dies - that is O.K. too, it means nothing.",Petrovsk-Zabaykalsky,"51.274240, 108.845079",RussiaTrek,http://russiatrek.org/zabaikalsky-krai,not sure if this is right (the name and therefore the URL),,,,
Shilka River,,,,,"53.341815, 121.497567",Wikipedia,https://en.wikipedia.org/wiki/Shilka_River,,,,,
Chita,8/8/1899,,"We ate dinner and went into the city. We saw how they were training reservists, old men with beards who were barely able to drag their feet along. We asked them to explain what was going on and they told us that there were no more men left to take into the army. Since the war started - they said - they have been taking and taking so that now there were no more men left and now they were taking old men. They would not draft women although there were plenty of them available. We ate dinner and continued on our way. Total Population: 11,511 Jewish Population: 1,211 Russian Orthodox Population: 9,460",,"52.055822, 113.474343",RussiaTrek,http://russiatrek.org/chita-city,,,,,
Stretensk,8/10/1899,,"On August 10th we arrived at Stretensk in the KHABAROVSK region. This is where the Siberian railroad ended.

Until now we were in pretty good spirits. We traveled on dry land and with the shouts of ""Hurrah! Hurrah!"" and the singing of songs we traveled across European Russia and much of Siberia. Now begins Asia. It reeks already of China and Manchuria.

Stretensk is a harbor and a Cossack dty. Here live mainly Cossacks. You can find Jews too but very few in number.

We got off the train and took all our belongings out of the train car and all the regimental baggage as well. We said good-bye to the train cars that carried us such a long way.

We remained at Stretinsk harbor for half a day. We needed to continue our journey by railroad but the Chinese damaged the railroad tracks so that the Russians wouldn't be able to bring any reinforcements to the battle area. For that reason we had to stay here. We sent a telegram asking for instructions on how we should proceed and what we should do. We were instructed to continue our journey on water. The waterway here was the river Shilka (or Shilke). Total Population: 1,106 Jewish Population: 280 Russian Orthodox Population: 788
",,"52.250742, 117.704000",Wikipedia,https://en.wikipedia.org/wiki/Sretensk,,,,,
Chabarovsk,,,,Khabarovsk,"48.508535, 135.074975",RussiaTrek,http://russiatrek.org/khabarovsk-city,,,,,
Amur,8/13/1899,,"On August 13th our ship entered the Amur River. One side of the river belongs to the
Chinese - the other to the Russians.

Now when we stop over to sleep and to cook our dinner we are each issued fifty rounds of ammunition. They also appointed guard posts all around the area to prevent an unexpected attack on us.

As we traveled along the river we saw Chinese villages - they had all been burned and destroyed and you didn't see a living soul; all that was left were the wooden chimneys of their homes.	We saw fields which had been sown with all kinds of good things and also vineyards which the Chinese left behind as they fled when the battle began.

A couple of nights we stopped over near forests where wild animals were roaming and snakes could be found as well.	Here we couldn't sleep anymore because we were afraid for our ""behinds."" We were already sick and tired of this traveling and all the ""conveniences"" which we enjoy - the eating and the sleeping which we can't enjoy neither by day nor by night.	But - we have to put up with it.
",,"52.715291, 140.107956",Britannica,http://www.britannica.com/place/Amur-River,,,,,
Blagoveshchensk,8/20/1899,9/2/1899,"We needed to get to Blagoveshchensk. We took on provisions for twenty days and boarded a ship and took four freight barges along too. Here we could see already the Chinese because of whom we covered all this distance - just to have a look at them (ha! ha!).
They are dark-skinned people who wear braids - whether man or woman, they all wear braids.

There are plenty of wealthy Chinese here. When the war started they converted to the Russian Orthodox faith and they were doing real well in their businesses.

The dress of the Chinese is old-fashioned. They don't wear shirts and long johns (underwear) but they wear two pairs of trousers. One pair is long and the other, a short pair is worn over the long pair. It looks like a shield or some kind of armor. The sleeves are short. They all smoke long pipes - young and old. You don't see any women among them because they are afraid to show their face.

About four o'clock we boarded our ship and we continued our journey on water.

Our daily routine is crazy now: we travel all day until 9 o'clock at night, then we pull up in the shore. We dig deep pits and put big kettles into them and cook our dinner all night long. We are fed our dinner at 6 o'clock in the morning, we embark and then we continue our journey. This is how it is done every night. There is nothing around here except forests. And there is nothing in the forests except wood which our ship takes on (to fire the steam engines). When we stop we put up tents and we sleep on the bare ground. The nights are already cool. We sleep through the night and at 5 o'clock in the morning they wake us and feed us our dinner. We eat and we continue our journey. We live a crazy life on this trip. All day long we are crowded one on top of the other so that we get no rest. Four ships are not enough for us but there aren't any more. We just have to put up with these inconveniences.

August 11th. We are sailing.
We see nothing but big mountains such as we have not seen before and they seem to be continually on fire. When it rains the fire seems to burn even brighter (stronger). Total Population: 32,834 Russian Orthodox Population: 23,856 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census 
",,"50.274452, 127.540956",RussiaTrek,http://russiatrek.org/blagoveschensk-city,,,,,
Sanchin,8/20/1899,,"Blagoveshchensk is a big city and it is located near the water (near a river). On the opposite shore is located a Chinese city called Sachalin. A few days ago the Chinese started an uprising. They captured a Russian man and did some terrible things to him. They didn't kill him right away but they tortured him; they cut off his ear and his hand or his leg. Later that day they killed him. They beheaded him and then put a stick in the torso and carried it around the city. Because of that incident the war started and the Chinese began shooting at Blagoveshchensk.

Here in Blagoveshchensk were stationed reservists who responded to the Chinese attack and the war began. They laid siege to the Chinese city until they captured it and burned it down. Many Chinese were killed but some managed to flee for their lives. Here in Blagoveshchensk too lived many Chinese, about 4000. Some of them fled and the rest were rounded up and tied together by their braids then they were led to the water (river) and told to go across. Those who managed to get across - good and well; those who didn't remained in the water and were left to learn how to swim - forever.
",,,,,,,,,
Harbin,,,,,"45.808467, 126.535978",Sino - Judaic Institute,http://www.sino-judaic.org/index.php?page=harbin_history,http://www.sino-judaic.org/images/editoruploadimage/Harbin%20Main.jpg,Sino - Judaic Institute,,,
Banvan Sasa,9/24/1899,,"The city we are now staying in is called Banya Sasa (or Banvan Sasa?). Two battalions of soldiers are to remain here as well as 100 Cossacks and the rest of us are to move on. Well, we have now conquered one city and its chickens. This is a big city with a lot of factories. A telegram was dispatched to the Czar that we have conquered one city and that we have three more to conquer. A reply came back that we should proceed further.",,,,,,,,,
Fen Dzian,9/26/1899,,We left the city and marched 40 viorst (20) to the bank of the river. We embarked and traveled a few viorst by boat. We got off the boat and then marched two days on foot. We came to a city called Fen Dziah. The interpreter was sent ahead to inquire whether they will surrender peacefully or whether we will have to fight and bum down the city. They got scared and threw open all the gates of the city and gave us the keys to the city. We proceeded with the search for weapons as we did in the other city. All the weapons we could find were confiscated.,,,,,,,,,
San Dzian,9/26/1899,12/17/1899,"We entered the town - it was deserted, not even a dog was to be seen. When the Chinese heard that soldiers were coming they fled with their wives and children and left all their property unattended.

The elder of the town remained and he showed us the fort where Chinese soldiers had been stationed but they fled.

We entered the fort. We have to settle down here so we immediately started working like horses. Everything needed fixing. Chinese houses have no window panes and no ovens.  They have empty rooms and holes in the walls and here winter is coming. We started fixing things up. We need a kitchen to cook food and an oven to bake bread and quarters with window panes. However, there are no window panes to be had. That is not the Chinese style.         We had to make windows their style that is paper smeared with oil.  We worked eight hours a day. Everything was fixed up in the best way possible. Even dogs may stay here now not just soldiers. Anyway, it is nice and warm except that you can choke from the smoke. First of all they told us to bring in all the things we would need.        We bought flour and we had our provisions brought in and we were all settled in here.

Then our ""boss"" arrived, the brigade general Kotnievitch. We all jumped in parade formation and he reviewed each of us carefully and said: ""see to it that you fix yourself up because you look poorly. We will spend the winter here and then we will go back to Russia, to our old place.""        We were very happy to hear this news - it really refreshed each one of us.

The 17th of December we looked up and here was our exchange unit. We got dressed and moved out on foot to Fen Dziah. As we were marching we thanked God that we survived the first round of Hell.",,,,,,,,,
Alachin,,,,,,,,,,,,
Niklosk,1/7/1900,,"On Jan. 7 we arrived in Nikolsk. We disembarked from the train and a new world greeted us. We can now see white faces for up to now we have only seen the dark­ skinned Chinese. Many of us lifted our hands to the Living God that He helped us in our needs and troubles without end and protected us from all evil. And we prayed for continued help that we should not have to face again the evil, dark-as-the-devil Chinese with their long braids.

We arrive at the railroad station in Nikolsk as the music is playing. We disembark from the train. We were happy to be finished with Manchuria where we could have gotten killed.  We were delighted to see a Russian city again in front of us.  Then as we look around we see people dark faced as the    Chinese.	They are dressed from head to toe in white and are wearing fedora style hats. At first we thought that they were ghosts, but ghosts don't wear fedoras. We asked around what kind of animal this was and we were told that these were Koreans.

Nikolsk is a large Russian city.   Here you find people of various nationalities. Russians, Poles, Chinese and Koreans.  You  even  find  a couple  of  Jews  here and the  dark-faced  Japanese  who  are  all  dressed  in  European  clothes.
",,,,,,,,,
Vladivostok,3/5/1901,3/5/1901,"Vladivostock is an important sea-port and many large ships are waiting here to loaded or unloaded.

As we got off the train we were all very happy that we were about to leave for Russia. We stacked up our rifles and busied ourselves removing our gear from the baggage cars. We were taking home several flags as well as a few Chinese artillery pieces, rifles, swords and a small Chinese boy. These things were to serve as our remembrances of China.

Everything was taken out of the train, laid down on the ground and then was loaded onto the ship.
A Chinese baron was traveling with us. We were also carrying a load of long Chinese pipes.

When everything was loaded we went to the baths. After a good wash we boarded the boat. So ended the march in Manchuria. We thanked God that we overcame everything thus far and so far from home - and now we have arrived at this point. Total Population: 28,933 Russian Orthodox Population: 14,056 Buddhist Population: 12,616 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census 
",,"43.178713, 132.000132",RussiaTrek,http://russiatrek.org/vladivostok-city,,,,,
Nagasaki,3/9/1901,3/12/1901,"After sailing for three days we arrive at an island in the Sea of Japan. On the 9th of March at 5:00 in the afternoon, we enter the port city of Nagasaki. After the ship has docked at the pier a Japanese inspection crew boards us. They are to inspect both cargo and passengers.	As it turns out, it's a mere formality and they depart as soon as they arrived. There are ships from many countries anchored at the Port of Nagasaki; we see flags from various nations - American. English. French and Japanese.

Suddenly, a flotilla of small boats approaches our vessel. They are packed full of goods for sale; we can buy anything imaginable. All kinds of food stuff, baked goods, citrus fruit, cigarettes and soft drinks. They also have gold and silver jewelry. The desire to purchase something is very strong but most of us have little or no money, so we have to satisfy ourselves with just enjoying the sight. Some passengers got into a fist fight with the vendors after not being able to pay for their purchase.	One person got beat up to serve as an example for others, not to take merchandise   for which he was not able to pay. The cheapest of all goods was tea 25 to 30 kopeks a pound where as in Russia, it would cost 2 or even 3 Rubles,

Each day for three days, the little boats kept coming and the bartering went on. Everything that one's heart desired was for sale. Clothing especially, was very inexpensive. Things such as shirts, pants, socks, etc.

Finally, our boat loads up with fuel (coal), water, food and other supplies and on March 12th, in the morning, we leave Nagasaki. Our destination - Singapore.

Soon we notice a drastic change in the weather. It's getting very hot and we feel the heat increasing as the day progresses. We receive orders to don our white outfits – pants, shirts and white cap. These are supposed to protect us from the sun and heat and were especially made for us in Nikolsk. When we look at ourselves and each other, we can't help but laugh, because we look like the walking dead!

We sail on and see nothing but endless seas, blue sky and a hot sun. Occasionally, we pass another boat or small island, and then again, the same monotony.

The heat becomes almost unbearable.	Our new clothing is getting wet and heavy, as we sweat profusely. Had it not been for our sense of feeling ashamed, we would have walked about naked!

Our boat begins to rock back and forth and from side to side. A motion disagreeable to most of us and we begin another bout with sea sickness.  We are trying to stay on deck since sea sickness below deck is an even worse experience. But there is little or no room for everybody, and it's impossible to find a shady spot to be protected from the punishing sun rays.

Every other day is laundry day. We have to do it ourselves and the only water we can use is salt water.	We find the salt water needs more soap to make suds and that presents a problem, as well. We have to do the best we can under the circumstances and hopefully our soap supply will outlast our dirt.
",,"32.768438, 129.877698",Endless Discovery - Nagasaki,http://visit-nagasaki.com/History/,,,,,
